station,line,latitude,longitude,postcode
Bülowstraße,U2,52.497552777,13.363419444,10783
Bülowstraße,U1,52.497552777,13.363419444,10783
Bülowstraße,U3,52.497552777,13.363419444,10783
Bülowstraße,U4,52.497552777,13.363419444,10783
Charlottenburg,U7,52.50505,13.30452,
Cottbusser Platz,U5,52.5339,13.5964,12619
Cottbusser Platz,,52.5339,13.5964,12619
Dahlem-Dorf,U3,52.456944444,13.289444444,14195
Deutsche Oper,U2,52.511944444,13.310555555,10625
Eberswalder Straße,U2,52.541666666,13.412222222,10437
Eberswalder Straße,,52.541666666,13.412222222,10437
Eisenacher Straße,U7,52.489444444,13.350277777,10823
Elsterwerdaer Platz,,52.505,13.56056,12683
Fehrbelliner Platz (U3),U3,52.4897,13.3153,
Fehrbelliner Platz (U3),Berliner Ringbahn,52.4897,13.3153,
Fehrbelliner Platz (U7),U7,52.4897,13.3153,
Frankfurter Allee,U5,52.514166666,13.474722222,10247
Frankfurter Allee,,52.514166666,13.474722222,10247
Frankfurter Tor,U5,52.515833333,13.454166666,10243
Franz-Neumann-Platz (Am Schäfersee),U8,52.564722222,13.363888888,13409
Franz-Neumann-Platz (Am Schäfersee),U9,52.564722222,13.363888888,13409
Französische Straße,U6,52.514722222,13.389166666,10117
Französische Straße,U2,52.514722222,13.389166666,10117
Freie Universität (Thielplatz),U3,52.451111111,13.282222222,14195
Friedrich-Wilhelm-Platz,U9,52.47194,13.32861,12161
Friedrichsfelde,U5,52.506111111,13.512777777,10315
Friedrichstraße,U55,52.52,13.387,
Friedrichstraße,U6,52.52,13.387,
Friedrichstraße,,52.52,13.387,
Gesundbrunnen,U6,52.548611111,13.389444444,13357
Gesundbrunnen,U8,52.548611111,13.389444444,13357
Gesundbrunnen,U2,52.548611111,13.389444444,13357
Gesundbrunnen,,52.548611111,13.389444444,13357
Gleisdreieck,U1,52.498333333,13.375277777,10963
Gleisdreieck,U2,52.498333333,13.375277777,10963
